vg	gm	idbyw	gmbyid	gmbygds	ft	cgg	gds	Voverdrive	vd
7.300000e-01	1.871021e-08	4.318294e-10	2.166389e+01	2.380071e+02	2.012671e+06	9.296208e-15	7.861197e-11	-2.823350e-01	2.000000e-01
7.400000e-01	2.260149e-08	5.348441e-10	2.112905e+01	2.319688e+02	2.389949e+06	9.456892e-15	9.743333e-11	-2.723350e-01	2.000000e-01
7.500000e-01	2.717790e-08	6.589852e-10	2.062102e+01	2.262009e+02	2.822692e+06	9.628363e-15	1.201494e-10	-2.623350e-01	2.000000e-01
7.600000e-01	3.255191e-08	8.079512e-10	2.014472e+01	2.207536e+02	3.317982e+06	9.810754e-15	1.474581e-10	-2.523350e-01	2.000000e-01
7.700000e-01	3.885854e-08	9.860572e-10	1.970400e+01	2.156647e+02	3.884246e+06	1.000414e-14	1.801804e-10	-2.423350e-01	2.000000e-01
7.800000e-01	4.626065e-08	1.198361e-09	1.930164e+01	2.109593e+02	4.531563e+06	1.020854e-14	2.192870e-10	-2.323350e-01	2.000000e-01
7.900000e-01	5.495510e-08	1.450815e-09	1.893939e+01	2.066502e+02	5.272026e+06	1.042391e-14	2.659330e-10	-2.223350e-01	2.000000e-01
8.000000e-01	6.518023e-08	1.750460e-09	1.861803e+01	2.027381e+02	6.120144e+06	1.065011e-14	3.214997e-10	-2.123350e-01	2.000000e-01
8.100000e-01	7.722461e-08	2.105646e-09	1.833751e+01	1.992131e+02	7.093306e+06	1.088697e-14	3.876482e-10	-2.023350e-01	2.000000e-01
8.200000e-01	9.143761e-08	2.526316e-09	1.809702e+01	1.960556e+02	8.212322e+06	1.113420e-14	4.663862e-10	-1.923350e-01	2.000000e-01
8.300000e-01	1.082420e-07	3.024336e-09	1.789517e+01	1.932370e+02	9.502043e+06	1.139145e-14	5.601516e-10	-1.823350e-01	2.000000e-01
8.400000e-01	1.281488e-07	3.613901e-09	1.772998e+01	1.907207e+02	1.099208e+07	1.165828e-14	6.719187e-10	-1.723350e-01	2.000000e-01
8.500000e-01	1.517747e-07	4.312016e-09	1.759904e+01	1.884625e+02	1.271764e+07	1.193419e-14	8.053312e-10	-1.623350e-01	2.000000e-01
8.600000e-01	1.798621e-07	5.139076e-09	1.749946e+01	1.864103e+02	1.472037e+07	1.221859e-14	9.648722e-10	-1.523350e-01	2.000000e-01
8.700000e-01	2.133020e-07	6.119548e-09	1.742792e+01	1.845046e+02	1.704941e+07	1.251081e-14	1.156079e-09	-1.423350e-01	2.000000e-01
8.800000e-01	2.531578e-07	7.282778e-09	1.738058e+01	1.826774e+02	1.976228e+07	1.281015e-14	1.385819e-09	-1.323350e-01	2.000000e-01
8.900000e-01	3.006915e-07	8.663910e-09	1.735311e+01	1.808525e+02	2.292587e+07	1.311582e-14	1.662634e-09	-1.223350e-01	2.000000e-01
9.000000e-01	3.573881e-07	1.030495e-08	1.734060e+01	1.789454e+02	2.661710e+07	1.342701e-14	1.997191e-09	-1.123350e-01	2.000000e-01
9.100000e-01	4.249760e-07	1.225593e-08	1.733757e+01	1.768638e+02	3.092339e+07	1.374286e-14	2.402843e-09	-1.023350e-01	2.000000e-01
9.200000e-01	5.054416e-07	1.457616e-08	1.733796e+01	1.745097e+02	3.594248e+07	1.406251e-14	2.896353e-09	-9.233501e-02	2.000000e-01
9.300000e-01	6.010310e-07	1.733554e-08	1.733523e+01	1.717814e+02	4.178155e+07	1.438508e-14	3.498814e-09	-8.233501e-02	2.000000e-01
9.400000e-01	7.142347e-07	2.061581e-08	1.732250e+01	1.685782e+02	4.855537e+07	1.470970e-14	4.236816e-09	-7.233502e-02	2.000000e-01
9.500000e-01	8.477505e-07	2.451173e-08	1.729275e+01	1.648056e+02	5.638320e+07	1.503552e-14	5.143943e-09	-6.233502e-02	2.000000e-01
9.600000e-01	1.004419e-06	2.913190e-08	1.723916e+01	1.603819e+02	6.538449e+07	1.536173e-14	6.262671e-09	-5.233502e-02	2.000000e-01
9.700000e-01	1.187129e-06	3.459932e-08	1.715537e+01	1.552448e+02	7.567316e+07	1.568758e-14	7.646815e-09	-4.233502e-02	2.000000e-01
9.800000e-01	1.398694e-06	4.105129e-08	1.703593e+01	1.493589e+02	8.735084e+07	1.601237e-14	9.364648e-09	-3.233502e-02	2.000000e-01
9.900000e-01	1.641707e-06	4.863869e-08	1.687656e+01	1.427206e+02	1.004995e+08	1.633548e-14	1.150294e-08	-2.233502e-02	2.000000e-01
1.000000e+00	1.918378e-06	5.752448e-08	1.667445e+01	1.353622e+02	1.151738e+08	1.665638e-14	1.417218e-08	-1.233502e-02	2.000000e-01
1.010000e+00	2.230371e-06	6.788137e-08	1.642844e+01	1.273524e+02	1.313945e+08	1.697462e-14	1.751338e-08	-2.335019e-03	2.000000e-01
1.020000e+00	2.578659e-06	7.988872e-08	1.613907e+01	1.187944e+02	1.491429e+08	1.728986e-14	2.170691e-08	7.664980e-03	2.000000e-01
1.030000e+00	2.963412e-06	9.372877e-08	1.580845e+01	1.098202e+02	1.683579e+08	1.760187e-14	2.698421e-08	1.766498e-02	2.000000e-01
1.040000e+00	3.383926e-06	1.095825e-07	1.544009e+01	1.005834e+02	1.889352e+08	1.791051e-14	3.364298e-08	2.766498e-02	2.000000e-01
1.050000e+00	3.838602e-06	1.276250e-07	1.503860e+01	9.124920e+01	2.107298e+08	1.821575e-14	4.206724e-08	3.766498e-02	2.000000e-01
1.060000e+00	4.324984e-06	1.480214e-07	1.460932e+01	8.198481e+01	2.335598e+08	1.851768e-14	5.275348e-08	4.766497e-02	2.000000e-01
1.070000e+00	4.839831e-06	1.709223e-07	1.415799e+01	7.294999e+01	2.572128e+08	1.881645e-14	6.634450e-08	5.766497e-02	2.000000e-01
1.080000e+00	5.379219e-06	1.964605e-07	1.369033e+01	6.428884e+01	2.814530e+08	1.911232e-14	8.367267e-08	6.766497e-02	2.000000e-01
1.090000e+00	5.938661e-06	2.247479e-07	1.321183e+01	5.612357e+01	3.060282e+08	1.940560e-14	1.058140e-07	7.766497e-02	2.000000e-01
1.100000e+00	6.513211e-06	2.558723e-07	1.272746e+01	4.855033e+01	3.306756e+08	1.969668e-14	1.341538e-07	8.766497e-02	2.000000e-01
1.110000e+00	7.097562e-06	2.898962e-07	1.224156e+01	4.163724e+01	3.551277e+08	1.998594e-14	1.704619e-07	9.766496e-02	2.000000e-01
